,Score,Action
259,30.7,reask
260,0.0,operator
261,42.56,operator
262,15.63,operator
263,14.15,operator
264,23.28,reask
265,51.56,reask
266,27.25,reask
267,82.98,reask
268,58.74,reask
269,82.08,reask
270,51.73,operator
271,43.11,operator
272,30.7,reask
273,12.81,operator
274,45.56,reask
275,9.55,reask
276,20.89,operator
277,37.57,operator
278,16.3,operator
279,77.24,reask
280,0.0,reask
281,83.62,correct
282,38.01,operator
283,23.79,reask
284,36.85,reask
285,36.85,reask
286,33.59,reask
290,22.14,operator
291,82.95,correct
292,81.46,correct
293,17.76,operator
294,7.83,operator
295,59.89,reask
296,25.74,operator
297,40.45,operator
298,40.76,reask
299,7.24,operator
300,20.79,operator
301,28.08,operator
302,27.15,operator
303,19.09,operator
304,22.29,operator
305,12.69,reask
306,38.01,reask
307,40.24,reask
308,25.41,reask
309,11.82,reask
310,45.5,reask
311,28.14,reask
312,100.0,correct
317,17.29,operator
318,100.0,correct
319,90.0,correct
320,39.35,operator
321,67.0,operator
322,2.67,operator
323,15.25,operator
324,0.0,operator
325,34.31,reask
326,81.46,correct
327,15.07,operator
328,13.97,operator
330,27.81,operator
331,32.66,reask
332,23.83,reask
333,67.0,operator
334,8.78,operator
335,50.79,operator
336,62.72,reask
337,22.7,reask
338,11.37,operator
340,17.89,operator
341,20.99,reask
342,33.59,reask
343,79.0,correct
344,48.61,reask
345,49.19,reask
346,21.15,reask
347,42.71,reask
348,100.0,operator
349,25.87,operator
350,14.85,operator
351,54.8,operator
352,0.0,operator
353,100.0,operator
354,25.87,operator
355,25.87,operator
356,80.84,operator
357,25.87,operator
358,25.87,operator
359,25.87,operator
360,14.39,operator
361,25.87,operator
362,44.09,operator
363,25.87,operator
364,14.39,operator
365,0.0,operator
366,27.02,operator
367,77.05,operator
368,25.87,operator
369,41.37,operator
370,80.84,operator
371,77.02,correct
372,10.97,operator
373,11.08,operator
374,47.82,reask
375,6.21,reask
376,30.52,reask
377,38.19,operator
378,82.95,operator
379,42.21,operator
380,45.98,reask
381,62.73,reask
382,9.13,operator
383,72.53,operator
384,28.57,operator
385,26.85,operator
386,77.08,correct
387,0.0,operator
388,14.62,operator
389,33.59,reask
390,78.98,correct
391,50.08,reask
392,50.08,reask
393,25.41,operator
394,42.9,operator
395,32.29,operator
396,100.0,reask
397,33.12,reask
398,15.58,operator
399,20.56,operator
400,15.79,reask
401,15.79,reask
402,90.0,correct
403,25.87,operator
404,17.89,operator
405,99.0,correct
406,37.35,reask
407,21.3,reask
408,12.93,reask
409,30.21,operator
410,49.33,reask
